c Esto es un archivo con instancias para grafos. 
p did 10
e 0 1 19.2264893596
e 0 2 11.9027372664
e 0 3 17.422291875
e 0 4 92.1783671895
e 0 5 83.1104775215
e 0 6 88.8957903017
e 0 7 56.2463270404
e 0 8 42.8782140819
e 0 9 24.4043197119
e 1 2 43.8014651777
e 1 3 67.9347610696
e 1 4 78.7523746006
e 1 5 20.3303104682
e 1 6 75.3660311975
e 1 7 97.981663474
e 1 8 71.548805636
e 1 9 85.6651580893
e 2 3 18.2362129161
e 2 4 68.5531993953
e 2 5 40.1415422716
e 2 6 8.99978324559
e 2 7 70.988914197
e 2 8 43.1057945775
e 2 9 83.3630733431
e 3 4 55.2645395251
e 3 5 70.4471934745
e 3 6 33.430261985
e 3 7 77.2899046283
e 3 8 49.207366566
e 3 9 93.7899863031
e 4 5 22.171121113
e 4 6 29.6794683947
e 4 7 83.6807353199
e 4 8 97.8822218843
e 4 9 94.3472426598
e 5 6 34.5074392623
e 5 7 55.0441060234
e 5 8 11.9500993147
e 5 9 42.8643658691
e 6 7 16.8848037322
e 6 8 13.3636460938
e 6 9 75.0007214404
e 7 8 9.37908683566
e 7 9 55.7117986098
e 8 9 72.002518168
